id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
1,1,"c, design, software engineer, oop, build, computer, design patterns, software, code, java, full, test, software architecture, software engineering, command, programming","collaboration, collaborative, feedback, active, learning, work, peer",,Bachelor,Entry Level,"test, develop, code, development"
2,1,"full, software, application, agile, software development","learning agility, mentoring, time, learning, agile",,Bachelor,None,"develop, development, application"
3,1,"design, software engineering, build, computer, cloud, redis, backend, full, aws, go, nosql, devops, data, github, programming","creativity, feedback, critical, learning, work",,None,None,
4,1,"python, software applications, software engineer, mongodb, redis, full, code, web, postgresql, go, javascript, database, software development, programming","problem, communication skills, creativity, project, growth, initiative, written, work, verbal","network, testing",None,Intern,"web, code, development, testing"
5,1,"c, design, oop, security, performance, github, documentation, computer, system, software, backend, deployment, devops, azure, programming, software development, git, software developer, code, cloud, version control, frontend, software architecture, frontend development, modular, data","initiative, written, work, documentation, independent","version control systems, testing",Master,None,"development, system, code, testing, deployment, develop, refactor"
6,1,"computer, software, application","responsibility, work",,Bachelor,Intern,"develop, development, application"
7,1,"design, cloud, build, security, software, performance, data","accountability, growth mindset, problem solving, responsibility, flexibility, learning, active listening, analytical, verbal, creativity, critical thinking, initiative, work, communication, emotional, teamwork, written communication, presentation skills, growth, feedback, client, empathy, active, curiosity",,Bachelor,Entry Level,development
8,1,"python, c, computer, code, java, go, javascript, coding, swift","flexibility, work, client",,None,None,"code, development"
9,1,"c, software developer, system, code, web, performance, javascript, coding, integration, database, sql, documentation, programming","work, documentation",,None,Mid-Level,"web, system, code, development"
10,1,"c, software engineer, computer, code, software engineering, programming","work, teamwork",testing,None,Entry Level,"code, develop, development, testing"
11,1,"python, c, design, system, computer, software, code, java, programming","attention, growth, flexibility, written, verbal",network,PhD,None,"develop, system, code, development"
12,1,"computer, system, security, application","growth, communication",,None,None,"system, development, application"
13,1,"design, typescript, build, version control, css, backend, performance, web, frontend, code, javascript, troubleshoot, functional, app, deployment, git, rest","communication skills, work","performance optimization, version control systems, testing",None,None,"development, code, testing, web, deployment, develop, automated, rest"
14,1,"system, computer, application, data, programming","project, responsibility, task, work, communication",,None,Senior,"system, application"
15,1,"design, system, computer, test, integration","project, teamwork, analytical thinking, problem solving, time management, learning, work",,Bachelor,Senior,"test, system, development"
16,1,"full, system, software, security, application, continuous, data","growth, work, communication",network,Bachelor,None,"system, development, application"
17,1,"python, design, matlab, build, full, system, code, application, jira, test, integration, data","project, task, active, learning, work, curiosity, analytical, communication",,None,Senior,"development, system, code, application, test"
18,1,"c, design, debugging, build, computer, design patterns, software, java, unit, application, web, programming, data, command, documentation, software development","project, debugging, time, growth, critical, flexibility, learning, work, documentation, communication",network,PhD,Mid-Level,"development, application, web, develop, implementation, framework"
19,1,"python, design, application development, software engineering, algorithms, computer, software, code, coding, data, command, software development","problem, project, growth, learning, written","network, testing",None,Senior,"development, code, application, testing, develop, refactoring"
20,1,"data, continuous, documentation","communication skills, project, collaboration, collaborative, growth, time management, learning, work, documentation, analytical",,PhD,None,"develop, framework, development, implementation"
21,1,"c, design, performance, test, github, software development, programming","creativity, written communication, critical, feedback, task, attention to detail, work, analytical",,None,Mid-Level,"test, develop, development"
22,1,"c, software engineer, computer, software, java, sql, programming","communication skills, project, analytical thinking, work, negotiation",,None,Intern,
